,door_in,door_out,window_in,window_out,cvrmse
43,0.001759259,0.003240741,0.000277778,0.000277778,18.04650477
44,0.0025,0.003240741,0.000277778,0.000277778,18.08418702
45,0.003240741,0.003240741,0.000277778,0.000277778,19.35741964
46,0.003981481,0.003240741,0.000277778,0.000277778,21.64929466
47,0.004722222,0.003240741,0.000277778,0.000277778,24.67761359
48,0.005462963,0.003240741,0.000277778,0.000277778,28.20616342
49,0.006203704,0.003240741,0.000277778,0.000277778,32.07025236
50,0.006944444,0.003240741,0.000277778,0.000277778,36.16247927
51,0.000277778,0.003981481,0.000277778,0.000277778,29.55995432
52,0.001018519,0.003981481,0.000277778,0.000277778,26.23181755
53,0.001759259,0.003981481,0.000277778,0.000277778,23.23199572
54,0.0025,0.003981481,0.000277778,0.000277778,20.7036958
55,0.003240741,0.003981481,0.000277778,0.000277778,18.83773965
56,0.003981481,0.003981481,0.000277778,0.000277778,17.84314635
57,0.004722222,0.003981481,0.000277778,0.000277778,17.86603842
58,0.005462963,0.003981481,0.000277778,0.000277778,18.90271957
59,0.006203704,0.003981481,0.000277778,0.000277778,20.80217072
60,0.006944444,0.003981481,0.000277778,0.000277778,23.35482449
61,0.000277778,0.004722222,0.000277778,0.000277778,37.60251243
62,0.001018519,0.004722222,0.000277778,0.000277778,34.19667751
63,0.001759259,0.004722222,0.000277778,0.000277778,30.90981715
64,0.0025,0.004722222,0.000277778,0.000277778,27.78418743
65,0.003240741,0.004722222,0.000277778,0.000277778,24.88062654
66,0.003981481,0.004722222,0.000277778,0.000277778,22.28610137
67,0.004722222,0.004722222,0.000277778,0.000277778,20.12051895
68,0.005462963,0.004722222,0.000277778,0.000277778,18.5348451
69,0.006203704,0.004722222,0.000277778,0.000277778,17.68575455
70,0.006944444,0.004722222,0.000277778,0.000277778,17.67969391
71,0.000277778,0.005462963,0.000277778,0.000277778,44.70351921
72,0.001018519,0.005462963,0.000277778,0.000277778,41.44766921
73,0.001759259,0.005462963,0.000277778,0.000277778,38.24645321
74,0.0025,0.005462963,0.000277778,0.000277778,35.1148164
75,0.003240741,0.005462963,0.000277778,0.000277778,32.07314649
76,0.003981481,0.005462963,0.000277778,0.000277778,29.14962037
77,0.004722222,0.005462963,0.000277778,0.000277778,26.38354141
78,0.005462963,0.005462963,0.000277778,0.000277778,23.82980054
79,0.006203704,0.005462963,0.000277778,0.000277778,21.56396943
80,0.006944444,0.005462963,0.000277778,0.000277778,19.68571585
81,0.000277778,0.006203704,0.000277778,0.000277778,50.82454936
82,0.001018519,0.006203704,0.000277778,0.000277778,47.76602499
83,0.001759259,0.006203704,0.000277778,0.000277778,44.73722497
84,0.0025,0.006203704,0.000277778,0.000277778,41.7446198
85,0.003240741,0.006203704,0.000277778,0.000277778,38.79658611
86,0.003981481,0.006203704,0.000277778,0.000277778,35.90410471
87,0.004722222,0.006203704,0.000277778,0.000277778,33.08175033
88,0.005462963,0.006203704,0.000277778,0.000277778,30.34909394
89,0.006203704,0.006203704,0.000277778,0.000277778,27.7326636
90,0.006944444,0.006203704,0.000277778,0.000277778,25.26858892
91,0.000277778,0.006944444,0.000277778,0.000277778,56.08841105
92,0.001018519,0.006944444,0.000277778,0.000277778,53.2271397
93,0.001759259,0.006944444,0.000277778,0.000277778,50.38405606
94,0.0025,0.006944444,0.000277778,0.000277778,47.56242181
95,0.003240741,0.006944444,0.000277778,0.000277778,44.76629302
96,0.003981481,0.006944444,0.000277778,0.000277778,42.00076393
97,0.004722222,0.006944444,0.000277778,0.000277778,39.27229951
98,0.005462963,0.006944444,0.000277778,0.000277778,36.58919247
99,0.006203704,0.006944444,0.000277778,0.000277778,33.96219458
100,0.006944444,0.006944444,0.000277778,0.000277778,31.40538926
101,0.000277778,0.000277778,0.001018519,0.000277778,84.01922464
102,0.001018519,0.000277778,0.001018519,0.000277778,92.01056083
103,0.001759259,0.000277778,0.001018519,0.000277778,100.0353427
104,0.0025,0.000277778,0.001018519,0.000277778,108.086121
105,0.003240741,0.000277778,0.001018519,0.000277778,116.1574906
106,0.003981481,0.000277778,0.001018519,0.000277778,124.2454384
